sitename,slope,aspect,elevation,canopy_typ,topo,moist,severity,ph,sol,treeden,treeba,seedlingde,site_descr,directions,site_histo,location,n_dd,w_dd,title,ecoregion,filename,f3,f4,f5,f6,f7,pic_url,age,burn_year,topo_po
GRI3,1,14,504,Aspen,4,MESIC,NA,7.45,10.45,2575,27.9,41772.73,In 1947 this site burned in the Gerstle River fire. It is now comprised mainly of black spruce with some aspen.,"This site is inside the Gerstle River training area (restricted access). At MP 1393.2 of the Alaska Highway, just before the Gerstle River bridge, turn SW (right) on to access road for the Gerstle River Training Area. Continue 3.7 miles to the training a","This site was added to the Regional Site Network (RSN) in 2011 with the age class designation of ""Intermediate"".",Gerstle River,63.791346,-145.041859,GRI3 (GR-1),Tanana-Kuskokwim Lowlands,GRI3_Site.jpg,Site photo of GRI3 (GR-1).,10/2/2013,Shalane Frost,GRI3,GR-1,http://ltergis.iab.uaf.edu/rsn/pano/GRI3_Site.jpg,Intermediate,1947,Toe Slope
GRI4,1,71,500,Birch,10,MESIC,NA,8.1,8.8,5283.33,26.76,9318.18,In 1947 this site burned in the Gerstle River fire. It is now a mixed stand comprised of black spruce and birch.,"This site is inside the Gerstle River training area (restricted access). At MP 1393.2 of the Alaska Highway, just before the Gerstle River bridge, turn SW (right) on to access road for the Gerstle River Training Area. Continue 3.7 miles to the training a","This site was added to the Regional Site Network (RSN) in 2011 with the age class designation of ""Intermediate"".",Gerstle River,63.793417,-145.054202,GRI4 (GR-6),Tanana-Kuskokwim Lowlands,GRI4_Site.jpg,Site photo of GRI4 (GR-6).,10/2/2013,Shalane Frost,GRI4,GR-6,http://ltergis.iab.uaf.edu/rsn/pano/GRI4_Site.jpg,Intermediate,1947,Flat
GRI5,1,342,500,Aspen,10,SUBXERIC-MESIC,NA,8.21,9.1,1425,21.17,86181.82,In 1947 this site burned in the Gerstle River fire. Its overstory is now dominated by aspen and its understory by black spruce.,"This site is inside the Gerstle River training area (restricted access). At MP 1393.2 of the Alaska Highway, just before the Gerstle River bridge, turn SW (right) on to access road for the Gerstle River Training Area. Continue 3.7 miles to the training a","This site was added to the Regional Site Network (RSN) in 2011 with the age class designation of ""Intermediate"".",Gerstle River,63.795019,-145.076628,GRI5 (GR-5),Tanana-Kuskokwim Lowlands,GRI5_Site.jpg,Site photo of GRI5 (GR-5).,10/2/2013,Shalane Frost,GRI5,GR-5,http://ltergis.iab.uaf.edu/rsn/pano/GRI5_Site.jpg,Intermediate,1947,Flat
GRI6,0,0,495,Aspen,10,MESIC,NA,7.45,10.45,3466.67,19.93,59863.64,In 1947 this site burned in the Gerstle River fire. It is now a mixed stand of black spruce and aspen.,"At MP 1393.2 of the Alaska Highway, just before the Gerstle River bridge, turnSW (right) on to access road for the training area. Continue 3.7 miles to the training area boundary. Follow road leading NW for 0.9 miles. Site is 140m NE of road.","This site was added to the Regional Site Network (RSN) in 2011 with the age class designation of ""Intermediate"".",Gerstle River,63.800401,-145.055548,GRI6 (GR-3),Tanana-Kuskokwim Lowlands,GRI6_SitePano.jpg,Panoramic site photo of GRI6 (GR-3).,6/24/2015,Shalane Frost,GRI6,GR-3,http://ltergis.iab.uaf.edu/rsn/pano/GRI6_SitePano.jpg,Intermediate,1947,Flat
GRI7,1,220,485,Aspen,10,SUBXERIC-MESIC,NA,7.68,7,1575,25.76,18909.09,"In 1947 this site burned in the Gerstle River fire. Its overstory is now dominated by aspen, and it has an open black spruce understory.","At MP 1393.2 of the Alaska Highway, just before the Gerstle River bridge, turn SW (right) on to access road for the training area. Continue 3.7 miles to the training area boundary. Follow road leading NW for 1.1 miles. Site is 110m NE of road.","This site was added to the Regional Site Network (RSN) in 2011 with the age class designation of ""Intermediate"".",Gerstle River,63.801791,-145.061443,GRI7 (GR-4),Tanana-Kuskokwim Lowlands,GRI7_SitePano.jpg,Panoramic site photo of GRI7 (GR-4).,6/24/2015,Shalane Frost,GRI7,GR-4,http://ltergis.iab.uaf.edu/rsn/pano/GRI7_SitePano.jpg,Intermediate,1947,Flat
LGI1,8,173,290,Black Spruce,4,MESIC,NA,7,23.65,1100,2.35,5363.64,"In 1958 this site burned in the Livengood fire. It is now an open, mixed stand of black and white spruce.",Parking at MP 80.5 Elliott Highway (gravel pit on north side of road). Site is 300m south.,"This site was added to the Regional Site Network (RSN) in 2011 with the age class designation of ""Intermediate"".",Livengood,65.42936,-148.86419,LGI1 (LG-2),Ray Mountains,LGI1_SitePano.jpg,Panoramic site photo of LGI1 (LG-2).,9/17/2014,Shalane Frost,LGI1,LG-2,http://ltergis.iab.uaf.edu/rsn/pano/LGI1_SitePano.jpg,Intermediate,1958,Toe Slope
LGI2,12,144,330,Black Spruce,4,SUBXERIC,NA,5.03,12.55,1758.33,11.26,3909.09,"In 1958 this site burned in the Livengood fire. It is now a mixed stand composed mainly of black spruce, with some birch and white spruce.",Elliott Highway MP 78.2. Site is 90m south.,"This site was added to the Regional Site Network (RSN) in 2011 with the age class designation of ""Intermediate"".",Livengood,65.44649,-148.7609,LGI2 (LG-3),Ray Mountains,LGI2_SitePano.jpg,Panoramic site photo of LGI2 (LG-3).,9/17/2014,Shalane Frost,LGI2,LG-3,http://ltergis.iab.uaf.edu/rsn/pano/LGI2_SitePano.jpg,Intermediate,1958,Toe Slope
MDI1,3,69,211,Birch,3,SUBXERIC-MESIC,NA,5.7,9.1,12108.33,29.41,4363.64,In 1958 this site burned in the Murphy Dome fire. It is now a black spruce stand with a birch component.,"Park at bridge on Cache Creek Road, mile 11.1. Continue on foot or ATV across bridge and along road 1.25km. Site is 150m east of road.","This site was added to the Regional Site Network (RSN) in 2011 with the age class designation of ""Intermediate"".",Murphy Dome,64.879074,-148.381474,MDI1 (MD-5),Yukon-Tanana Uplands,MDI1_SitePano.jpg,Panoramic site photo of MDI1 (MD-5).,9/13/2014,Shalane Frost,MDI1,MD-5,http://ltergis.iab.uaf.edu/rsn/pano/MDI1_SitePano.jpg,Intermediate,1958,Side Slope
MDI2,10,68,256,Birch,3,SUBXERIC,NA,6.25,6.7,9375,18.17,45090.91,In 1958 this site burned in the Murphy Dome fire. It is now a mixed black spruce / birch stand.,"Park at bridge on Cache Creek Road, mile 11.1. Continue on foot or ATV across bridge and along road 790m. Site is 110m west of road.","This site was added to the Regional Site Network (RSN) in 2011 with the age class designation of ""Intermediate"".",Murphy Dome,64.879249,-148.389008,MDI2 (MD-7),Yukon-Tanana Uplands,MDI2_SitePano.jpg,Panoramic site photo of MDI2 (MD-7).,9/13/2014,Shalane Frost,MDI2,MD-7,http://ltergis.iab.uaf.edu/rsn/pano/MDI2_SitePano.jpg,Intermediate,1958,Side Slope
MDI3,5,79,205,Birch,3,SUBXERIC-MESIC,NA,5.93,7.3,4258.33,27.8,818.18,In 1958 this site burned in the Murphy Dome fire. It is now a birch stand with black spruce component.,"Park at bridge on Cache Creek Road, mile 11.1. Continue on foot or ATV across bridge and along road 840m. Site is 200m east of road.","This site was added to the Regional Site Network (RSN) in 2011 with the age class designation of ""Intermediate"".",Murphy Dome,64.880388,-148.382724,MDI3 (MD-6),Yukon-Tanana Uplands,MDI3_SitePano.jpg,Panoramic site photo of MDI3 (MD-6).,9/13/2014,Shalane Frost,MDI3,MD-6,http://ltergis.iab.uaf.edu/rsn/pano/MDI3_SitePano.jpg,Intermediate,1958,Side Slope
MDI4,7,228,226,Hardwood,3,SUBXERIC,NA,5.95,4.8,12100,28.1,42454.55,"In 1958 this site burned in the Murphy Dome fire. It is now a dense, mixed stand composed mainly of black spruce with some birch and aspen.","Cache Creek Road, mile 9.3. Site is 110m south of road.","This site was added to the Regional Site Network (RSN) in 2011 with the age class designation of ""Intermediate"".",Murphy Dome,64.882718,-148.355499,MDI4 (MD-2),Yukon-Tanana Uplands,MDI4_Site.jpg,Site photo of MDI4 (MD-2).,7/1/2013,Shalane Frost,MDI4,MD-2,http://ltergis.iab.uaf.edu/rsn/pano/MDI4_Site.jpg,Intermediate,1958,Side Slope
MDI5,10,354,226,Black Spruce,4,MESIC,NA,5.35,20.8,1908.33,2.21,28363.64,In 1958 this site burned in the Murphy Dome fire. It is now an open black spruce stand.,"Park at bridge on Cache Creek Road, mile 11.1. Continue on foot or ATV across bridge and along road 240m. Site is 140m west of road.","This site was added to the Regional Site Network (RSN) in 2011 with the age class designation of ""Intermediate"".",Murphy Dome,64.882947,-148.398187,MDI5 (MD-8),Yukon-Tanana Uplands,MDI5_SitePano.jpg,Panoramic site photo of MDI5 (MD-8).,9/13/2014,Shalane Frost,MDI5,MD-8,http://ltergis.iab.uaf.edu/rsn/pano/MDI5_SitePano.jpg,Intermediate,1958,Toe Slope
WDI1,3,234,242,Black Spruce,4,MESIC,NA,6,12.4,558.33,0.56,18454.55,In 1971 this site burned in the Wickersham Dome fire. It is now a black spruce stand.,"From Wickersham Dome pull out at MP 27 Elliott Highway, drive SW to pipeline gate. Park here. Continue on ATV 3.5 miles to valley bottom. Either ride or hike 0.7 miles to site.","This site was added to the Regional Site Network (RSN) in 2011 with the age class designation of ""Intermediate"".",Wickersham Dome,65.116602,-148.080849,WDI1 (WD-1),Yukon-Tanana Uplands,WDI1_SitePano.jpg,Panoramic site photo of WDI1 (WD-1).,8/11/2015,Shalane Frost,WDI1,WD-1,http://ltergis.iab.uaf.edu/rsn/pano/WDI1_SitePano.jpg,Intermediate,1971,Toe Slope
WDI2,20,250,335,Birch,3,SUBXERIC,NA,7.22,6.3,3283.33,15.63,3363.64,In 1971 this site burned in the Wickersham Dome fire. It is now a birch stand with some black spruce.,"From Wickersham Dome pull out at MP 27 Elliott Highway, drive SW to pipeline gate. Park here. Continue on ATV 3.2 miles towards valley bottom. Site is 710m SE.","This site was added to the Regional Site Network (RSN) in 2011 with the age class designation of ""Intermediate"".",Wickersham Dome,65.124643,-148.07587,WDI2 (WD-2),Yukon-Tanana Uplands,WDI2_SitePano.jpg,Panoramic site photo of WDI2 (WD-2).,8/12/2015,Shalane Frost,WDI2,WD-2,http://ltergis.iab.uaf.edu/rsn/pano/WDI2_SitePano.jpg,Intermediate,1971,Side Slope
WDI3,15,250,343,Birch,3,SUBXERIC,NA,5.87,7.9,2208.33,5.82,3181.82,In 1971 this site burned in the Wickersham Dome fire. It is now a black spruce stand with some birch.,"From Wickersham Dome pull out at MP 27 Elliott Highway, drive SW to pipeline gate. Park here. Continue on ATV 3.2 miles towards valley bottom. Site is 610m SE.","This site was added to the Regional Site Network (RSN) in 2011 with the age class designation of ""Intermediate"".",Wickersham Dome,65.125453,-148.076713,WDI3 (WD-3),Yukon-Tanana Uplands,WDI3_SitePano.jpg,Panoramic site photo of WDI3 (WD-3).,8/12/2015,Shalane Frost,WDI3,WD-3,http://ltergis.iab.uaf.edu/rsn/pano/WDI3_SitePano.jpg,Intermediate,1971,Side Slope
WDI4,25,255,344,Birch,3,SUBXERIC-MESIC,NA,6.07,10.4,3016.67,12.54,1954.55,In 1971 this site burned in the Wickersham Dome fire. It is now a birch stand with some black spruce.,"From Wickersham Dome pull out at MP 27 Elliott Highway, drive SW to pipeline gate. Park here. Continue on ATV 3.2 miles towards valley bottom. Site is 510m SE.","This site was added to the Regional Site Network (RSN) in 2011 with the age class designation of ""Intermediate"".",Wickersham Dome,65.126346,-148.077367,WDI4 (WD-4),Yukon-Tanana Uplands,WDI4_SitePano.jpg,Panoramic site photo of WDI4 (WD-4).,8/12/2015,Shalane Frost,WDI4,WD-4,http://ltergis.iab.uaf.edu/rsn/pano/WDI4_SitePano.jpg,Intermediate,1971,Side Slope
WDI5,0,158,500,Aspen,1,SUBXERIC,NA,6.38,5,1800,9.58,10909.09,In 1971 this site burned in the Wickersham Dome fire. It is now a mixed aspen / black spruce stand with some birch.,"From Wickersham Dome pull out at MP 27 Elliott Highway, drive SW to pipeline gate. Park here. Continue on ATV 2.4 miles SE. Site is 180m SW.","This site was added to the Regional Site Network (RSN) in 2011 with the age class designation of ""Intermediate"".",Wickersham Dome,65.145285,-148.018896,WDI5 (WD-6),Yukon-Tanana Uplands,WDI5_SitePano.jpg,Panoramic site photo of WDI5 (WD-6).,7/15/2015,Shalane Frost,WDI5,WD-6,http://ltergis.iab.uaf.edu/rsn/pano/WDI5_SitePano.jpg,Intermediate,1971,Summit
WDI6,22,224,520,Aspen,3,SUBXERIC,NA,5.76,5.2,6383.33,26.37,3863.64,In 1971 this site burned in the Wickersham Dome fire. It is now an aspen stand.,"From Wickersham Dome pull out at MP 27 Elliott Highway, drive SW to pipeline gate. Park here. Continue on ATV 2  miles SE. Site is 170m SW.","This site was added to the Regional Site Network (RSN) in 2011 with the age class designation of ""Intermediate"".",Wickersham Dome,65.148679,-148.026427,WDI6 (WD-8),Yukon-Tanana Uplands,WDI6_SitePano.jpg,Panoramic site photo of WDI6 (WD-8).,7/15/2015,Shalane Frost,WDI6,WD-8,http://ltergis.iab.uaf.edu/rsn/pano/WDI6_SitePano.jpg,Intermediate,1971,Side Slope
BCEFM2,0,0,141,Black Spruce,0,SUBHYGRIC,NA,0,0,17909.09,2275,2.64,This is a lowland black spruce site.,"Drive to the T at mile 5 of BCEF road and turn east at the junction. Continue for 600m, then turn south. Continue for 2km then park. The site is 500m east of the road.","This site was added to the Regional Site Network (RSN) in 2013 with the age class designation of ""Mature"".",BCEF,64.69516,-148.32324,BCEFM2 (Apex Beta),Yukon-Tanana Uplands,BCEFM2_SitePano.jpg,Panoramic site photo of BCEFM2 (Apex Beta).,6/3/2014,Shalane Frost,BCEFM2,Apex Beta,http://ltergis.iab.uaf.edu/rsn/pano/BCEFM2_SitePano.jpg,Mature,Pre 1930,
BDM1,0,0,217,Black Spruce,0,MESIC,NA,0,0,22818.18,3783.33,7.15,"This is a mesic, black spruce site.",Elliott Highway MP 128.7. Site on the south side of the Elliott.,"This site was added to the Regional Site Network (RSN) in 2013 with the age class designation of ""Mature"". Was purposefully collocated with a site originally established by Heather Alexander. Baseline data for this site was collected at the adjacent site","Elliott Hwy, near Manley Hotsprings",65.15799,-150.13574,BDM1 (BD69T2),Ray Mountains,BDM1_SitePano.jpg,Panoramic site photo of BDM1 (BD69T2).,9/16/2014,Shalane Frost,BDM1,BD69T2,http://ltergis.iab.uaf.edu/rsn/pano/BDM1_SitePano.jpg,Mature,Pre 1930,
DCM1,6,294,485,Black Spruce,0,MESIC,NA,0,0,3545.45,1675,7.92,"This is a mixed stand, composed mainly of black spruce with some white spruce.","MP 88.8 Dalton Highway,  250m west of road. Parking at pipeline access, MP 88.5.","This site was added to the Regional Site Network (RSN) in 2013 with the age class designation of ""Mature"".","Dalton Hwy, between Yukon River and Coldfoot",66.240395,-150.312493,DCM1 (Dalton),Ray Mountains,DCM1_SitePano.jpg,Panoramic site photo of DCM1 (Dalton).,8/19/2014,Shalane Frost,DCM1,Dalton,http://ltergis.iab.uaf.edu/rsn/pano/DCM1_SitePano.jpg,Mature,Pre 1930,
DDM1,4,324,533,Black Spruce,0,MESIC-SUBHYGRIC,NA,0,0,52954.55,3716.67,10.11,"This is a mesic-subhygric, black spruce site.","This site is located in the Donnelly Training area, unit 512 (restricted access).
From Richardson Hwy, turn east at MP 252.5, and continue east for 0.5miles. Site is 400m south.","This site was added to the Regional Site Network (RSN) in 2013 with the age class designation of ""Mature"". Some mature sites in the RSN, including this one, were purposefully collocated with a site network originally established by Teresa Hollingsworth.",Donnelly Dome,63.84662,-145.723333,DDM1 (TKN0126),Tanana-Kuskokwim Lowlands,DDM1_SitePano.jpg,Panoramic site photo of DDM1 (TKN0126).,10/2/2014,Shalane Frost,DDM1,TKN0126,http://ltergis.iab.uaf.edu/rsn/pano/DDM1_SitePano.jpg,Mature,Pre 1930,
FP5A,0,0,133,Black Spruce,0,SUBXERIC-MESIC,NA,0,0,5909.09,1283.33,12.15,"This is a subxeric-mesic, black spruce site on the Tanana River floodplain.","FP5A is located on the east side of Seven Mile Island, directly across the Tanana River from the termination of BCEF Road.","This study site was established in 1987 as an LTER site. In 2013, this site was added to the Regional Site Network (RSN) with the age class designation of ""Mature"".","Tanana R., W side of Seven Mile Island behind Yarie clearcut",64.681479,-148.249062,FP5A (BCEFM1),Tanana-Kuskokwim Lowlands,FP5A_SitePano.jpg,Panoramic site photo of FP5A (BCEFM1).,6/26/2014,Shalane Frost,FP5A,FP5A,http://ltergis.iab.uaf.edu/rsn/pano/FP5A_SitePano.jpg,Mature,Pre 1930,
FP5D,0,0,135,Black Spruce,0,MESIC,NA,0,0,28636.36,3025,8.58,"This is a mesic, black spruce site on the Tanana River floodplain.",FP5D is located on the north side of the Tanana River across from the Sam Charlie Island complex.,"This study site was established in 1987 as an LTER site. In 2013, this site was added to the Regional Site Network (RSN) with the age class designation of ""Mature"".",N side of Tanana R. behind Sam Charley I.,64.72541,-148.19274,FP5D (BCEFM3),Yukon-Tanana Uplands,FP5D_SitePano.jpg,Panoramic site photo of FP5D (BCEFM3).,9/11/2014,Shalane Frost,FP5D,FP5D,http://ltergis.iab.uaf.edu/rsn/pano/FP5D_SitePano.jpg,Mature,Pre 1930,
GRM2,0,0,493,Black Spruce,0,MESIC,NA,0,0,20272.73,6491.67,37.48,"This mature black spruce stand is located adjacent to other intermediate Gerstle River ""GR"" sites, in an area that did not burn in the 1947 Gerstle fire.","This site is inside the Gerstle River training area (restricted access). At MP 1393.2 of the Alaska Highway, just before the Gerstle River bridge, turn SW (right) onto access road for the training area. Continue 3.7 miles to the training area boundary. F","This site was added to the Regional Site Network (RSN) in 2013 with the age class designation of ""Mature"".",Gerstle River,63.787641,-145.063916,GRM2 (GR-10),Tanana-Kuskokwim Lowlands,GRM2_Site.jpg,Site photo of GRM2 (GR-10).,10/2/2013,Shalane Frost,GRM2,GR-10,http://ltergis.iab.uaf.edu/rsn/pano/GRM2_Site.jpg,Mature,Pre 1930,
GRM3,0,0,430,Black Spruce,0,MESIC-SUBHYGRIC,NA,0,0,40000,1375,2.35,"This is a mesic-subhygric, black spruce site.","At MP 1393.2 of the Alaska Highway, just before the Gerstle River bridge, turn SW (right) onto access road for the training area. Continue 0.85 miles a road leading NW, and park at junction. Site is 100m south. A trail exists directly across from junctio","This site was added to the Regional Site Network (RSN) in 2013 with the age class designation of ""Mature"". Some mature sites in the RSN, including this one, were purposefully collocated with a site network originally established by Teresa Hollingsworth.",Gerstle River,63.813653,-144.953825,GRM3 (TKN0120),Tanana-Kuskokwim Lowlands,GRM3_SitePano.jpg,Panoramic site photo of GRM3 (TKN0120).,6/24/2015,Shalane Frost,GRM3,TKN0120,http://ltergis.iab.uaf.edu/rsn/pano/GRM3_SitePano.jpg,Mature,Pre 1930,
GRM4,0,0,429,Black Spruce,0,SUBXERIC-MESIC,NA,0,0,54454.55,3866.67,10.67,"This is a subxeric-mesic, black spruce site.","At MP 1393.2 of the Alaska Highway, just before the Gerstle River bridge, turn SW (right) onto access road for the training area. Continue 0.85 miles a road leading NW, and park at junction. Walk 90m on the road leading NW. Site is 40m NE.","This site was added to the Regional Site Network (RSN) in 2013 with the age class designation of ""Mature"". Some mature sites in the RSN, including this one, were purposefully collocated with a site network originally established by Teresa Hollingsworth.",Gerstle River,63.815131,-144.955467,GRM4 (TKN0119),Tanana-Kuskokwim Lowlands,GRM4_SitePano.jpg,Panoramic site photo of GRM4 (TKN0119).,6/24/2015,Shalane Frost,GRM4,TKN0119,http://ltergis.iab.uaf.edu/rsn/pano/GRM4_SitePano.jpg,Mature,Pre 1930,
GSM1,2,150,180,Black Spruce,0,SUBHYGRIC,NA,0,0,28590.91,2100,3.45,This is a lowland black spruce site.,"At mile 5 of Standard Creek Road, turn east (left). Continue for 0.25 miles and park at intersection with old road leading south. Walk 225m down road leading south. Site is 90m west.","This site was added to the Regional Site Network (RSN) in 2013 with the age class designation of ""Mature"".",Goldstream,64.80258,-148.31676,GSM1 (TKN0131L),Yukon-Tanana Uplands,GSM1_SitePano.jpg,Panoramic site photo of GSM1 (TKN0131L).,8/1/2013,Shalane Frost,GSM1,TKN0131L,http://ltergis.iab.uaf.edu/rsn/pano/GSM1_SitePano.jpg,Mature,Pre 1930,
GSM2,2,95,163,Black Spruce,0,SUBXERIC,NA,0,0,18136.36,3191.67,17.28,"This is a xeric, black spruce site.","At mile 5 of Standard Creek Road, turn east (left). Continue for 0.25 miles and park at intersection with old road leading south. Walk 125m down road leading south. Site is 50m west.","This site was added to the Regional Site Network (RSN) in 2013 with the age class designation of ""Mature"". Some mature sites in the RSN, including this one, were purposefully collocated with a site network originally established by Teresa Hollingsworth.",Standard Creek,64.80334,-148.31574,GSM2 (TKN0131),Yukon-Tanana Uplands,GSM2_Site.jpg,Site photo of GSM2 (TKN0131).,9/2/2013,Shalane Frost,GSM2,TKN0131,http://ltergis.iab.uaf.edu/rsn/pano/GSM2_Site.jpg,Mature,Pre 1930,
